val_loss,epoch,step,train_loss
20.32817268371582,0,97,
,0,97,31.35692024230957
19.211191177368164,1,195,
,1,195,21.660381317138672
18.931028366088867,2,293,
,2,293,20.633203506469727
18.77570343017578,3,391,
,3,391,20.14653968811035
18.68974494934082,4,489,
,4,489,19.819738388061523
18.55124855041504,5,587,
,5,587,19.53097915649414
18.376506805419922,6,685,
,6,685,19.08218765258789
18.22782325744629,7,783,
,7,783,18.470794677734375
18.07345199584961,8,881,
,8,881,17.932781219482422
18.069900512695312,9,979,
,9,979,17.644515991210938
18.050018310546875,10,1077,
,10,1077,17.491119384765625
18.074588775634766,11,1175,
,11,1175,17.38243293762207
18.150571823120117,12,1273,
,12,1273,17.336706161499023
18.07997703552246,13,1371,
,13,1371,17.2811279296875
18.073955535888672,14,1469,
,14,1469,17.213180541992188
18.06406593322754,15,1567,
,15,1567,17.18096351623535
18.036481857299805,16,1665,
,16,1665,17.11924171447754
17.976430892944336,17,1763,
,17,1763,17.114028930664062
18.008251190185547,18,1861,
,18,1861,17.059946060180664
18.054288864135742,19,1959,
,19,1959,17.021352767944336
17.991830825805664,20,2057,
,20,2057,17.00404167175293
18.015310287475586,21,2155,
,21,2155,16.976764678955078
17.979461669921875,22,2253,
,22,2253,16.9388427734375
18.023231506347656,23,2351,
,23,2351,16.935272216796875
18.067598342895508,24,2449,
,24,2449,16.9027099609375
17.963022232055664,25,2547,
,25,2547,16.86912727355957
17.92875099182129,26,2645,
,26,2645,16.844058990478516
17.939260482788086,27,2743,
,27,2743,16.849388122558594
17.93959617614746,28,2841,
,28,2841,16.80769157409668
17.982460021972656,29,2939,
,29,2939,16.80999183654785
17.93588638305664,30,3037,
,30,3037,16.77301597595215
17.921905517578125,31,3135,
,31,3135,16.7440128326416
17.933950424194336,32,3233,
,32,3233,16.714176177978516
17.91506004333496,33,3331,
,33,3331,16.711082458496094
17.913949966430664,34,3429,
,34,3429,16.669475555419922
17.879037857055664,35,3527,
,35,3527,16.682571411132812
17.99039649963379,36,3625,
,36,3625,16.67329216003418
17.84523582458496,37,3723,
,37,3723,16.668121337890625
17.926563262939453,38,3821,
,38,3821,16.644594192504883
17.884756088256836,39,3919,
,39,3919,16.623178482055664
17.87870216369629,40,4017,
,40,4017,16.621410369873047
17.84864044189453,41,4115,
,41,4115,16.62088966369629
17.90574836730957,42,4213,
,42,4213,16.578201293945312
17.912172317504883,43,4311,
,43,4311,16.581146240234375
17.861440658569336,44,4409,
,44,4409,16.584796905517578
17.92894172668457,45,4507,
,45,4507,16.552467346191406
17.824296951293945,46,4605,
,46,4605,16.56300163269043
17.921091079711914,47,4703,
,47,4703,16.527124404907227
17.92171287536621,48,4801,
,48,4801,16.54024887084961
17.896018981933594,49,4899,
,49,4899,16.511240005493164
18.0331974029541,50,4997,
,50,4997,16.54669952392578
17.84932518005371,51,5095,
,51,5095,16.505369186401367
17.891082763671875,52,5193,
,52,5193,16.501663208007812
17.886947631835938,53,5291,
,53,5291,16.494182586669922
17.8467960357666,54,5389,
,54,5389,16.500608444213867
17.82575225830078,55,5487,
,55,5487,16.49775505065918
17.833133697509766,56,5585,
,56,5585,16.483064651489258
17.84186363220215,57,5683,
,57,5683,16.462244033813477
18.02305793762207,58,5781,
,58,5781,16.47190284729004
17.86909294128418,59,5879,
,59,5879,16.470932006835938
17.865854263305664,60,5977,
,60,5977,16.463237762451172
17.8268985748291,61,6075,
,61,6075,16.457794189453125
17.910911560058594,62,6173,
,62,6173,16.452436447143555
17.983442306518555,63,6271,
,63,6271,16.447528839111328
17.898374557495117,64,6369,
,64,6369,16.427291870117188
17.88736915588379,65,6467,
,65,6467,16.45026206970215
17.930517196655273,66,6565,
,66,6565,16.432859420776367
17.89531135559082,67,6663,
,67,6663,16.42510223388672
17.891448974609375,68,6761,
,68,6761,16.43635368347168
17.91789436340332,69,6859,
,69,6859,16.437335968017578
18.0251407623291,70,6957,
,70,6957,16.41678237915039
17.8763370513916,71,7055,
,71,7055,16.390281677246094
18.014497756958008,72,7153,
,72,7153,16.395601272583008
17.98081398010254,73,7251,
,73,7251,16.423351287841797
17.8741397857666,74,7349,
,74,7349,16.398488998413086
17.8812198638916,75,7447,
,75,7447,16.39277458190918
17.871797561645508,76,7545,
,76,7545,16.384496688842773
17.89632797241211,77,7643,
,77,7643,16.37930679321289
17.958309173583984,78,7741,
,78,7741,16.37512969970703
17.937715530395508,79,7839,
,79,7839,16.393184661865234
17.82088279724121,80,7937,
,80,7937,16.376436233520508
17.8815975189209,81,8035,
,81,8035,16.395275115966797
17.85527801513672,82,8133,
,82,8133,16.367156982421875
17.881282806396484,83,8231,
,83,8231,16.363666534423828
17.899112701416016,84,8329,
,84,8329,16.376802444458008
17.90044403076172,85,8427,
,85,8427,16.342283248901367
17.923307418823242,86,8525,
,86,8525,16.383331298828125
17.99176025390625,87,8623,
,87,8623,16.358243942260742
17.894622802734375,88,8721,
,88,8721,16.342538833618164
17.835874557495117,89,8819,
,89,8819,16.32811164855957
17.9232120513916,90,8917,
,90,8917,16.323070526123047
17.857646942138672,91,9015,
,91,9015,16.338937759399414
17.86612319946289,92,9113,
,92,9113,16.329540252685547
17.779245376586914,93,9211,
,93,9211,16.341373443603516
17.953699111938477,94,9309,
,94,9309,16.34077262878418
17.930688858032227,95,9407,
,95,9407,16.333982467651367
17.93849754333496,96,9505,
,96,9505,16.31679916381836
17.85755157470703,97,9603,
,97,9603,16.327091217041016
17.914289474487305,98,9701,
,98,9701,16.328739166259766
17.91549301147461,99,9799,
,99,9799,16.302093505859375
17.898250579833984,100,9897,
,100,9897,16.30990982055664
17.891204833984375,101,9995,
,101,9995,16.30146026611328
17.795791625976562,102,10093,
,102,10093,16.304662704467773
17.945098876953125,103,10191,
,103,10191,16.30424690246582
17.831029891967773,104,10289,
,104,10289,16.313810348510742
17.823551177978516,105,10387,
,105,10387,16.321144104003906
17.852956771850586,106,10485,
,106,10485,16.283082962036133
17.87143325805664,107,10583,
,107,10583,16.30071449279785
17.896800994873047,108,10681,
,108,10681,16.31328773498535
17.910184860229492,109,10779,
,109,10779,16.296567916870117
17.87667465209961,110,10877,
,110,10877,16.277841567993164
17.860443115234375,111,10975,
,111,10975,16.29530143737793
17.854454040527344,112,11073,
,112,11073,16.309539794921875
17.929773330688477,113,11171,
,113,11171,16.308744430541992
17.909271240234375,114,11269,
,114,11269,16.278207778930664
17.914216995239258,115,11367,
,115,11367,16.28581428527832
17.854978561401367,116,11465,
,116,11465,16.280961990356445
17.841157913208008,117,11563,
,117,11563,16.28597640991211
17.84360122680664,118,11661,
,118,11661,16.287710189819336
17.92914581298828,119,11759,
,119,11759,16.281719207763672
17.93319320678711,120,11857,
,120,11857,16.28373908996582
17.8476619720459,121,11955,
,121,11955,16.295547485351562
17.876220703125,122,12053,
,122,12053,16.272750854492188
17.762508392333984,123,12151,
,123,12151,16.261905670166016
17.916536331176758,124,12249,
,124,12249,16.27808380126953
17.844013214111328,125,12347,
,125,12347,16.269699096679688
17.803279876708984,126,12445,
,126,12445,16.293441772460938
17.968170166015625,127,12543,
,127,12543,16.27150535583496
17.78825569152832,128,12641,
,128,12641,16.275178909301758
17.823837280273438,129,12739,
,129,12739,16.287229537963867
17.853647232055664,130,12837,
,130,12837,16.264829635620117
17.801759719848633,131,12935,
,131,12935,16.276586532592773
17.836307525634766,132,13033,
,132,13033,16.25703239440918
17.810659408569336,133,13131,
,133,13131,16.271045684814453
17.893016815185547,134,13229,
,134,13229,16.285606384277344
17.85666847229004,135,13327,
,135,13327,16.247211456298828
17.82191276550293,136,13425,
